Customer_Ref,Marital Status,Gender,Annual Income,Total Children,EducationLevel,Occupation,Age,Home Owner,,
customer15672,M,f,"£61,109",5,Partial College,Manual,28,N,,
customer15673,S,f,"£61,350",1,High School,Skilled Manual,52,Y,,
customer15674,S,f,"£60,366",1,Bachelors,Manual,39,Y,,
customer15675,M,m,"£44,627",2,Graduate Degree,Manual,30,N,,
customer15676,M,f,"£60,692",1,High School,Professional,30,Y,,
customer15677,M,m,"£77,795",1,Partial High School,Clerical,42,Y,,
customer15678,S,f,"£77,436",3,Partial College,Management,25,Y,,
customer15679,S,m,"£76,644",2,Bachelors,Professional,27,N,,
customer15680,S,m,"£34,159",4,Bachelors,Management,25,Y,,
customer15681,S,f,"£78,867",5,Bachelors,Skilled Manual,51,N,,
customer15682,S,m,"£47,412",3,Graduate Degree,Clerical,25,N,,
customer15683,M,f,"£58,682",2,Partial High School,Manual,27,Y,,
customer15684,S,m,"£64,697",1,Bachelors,Skilled Manual,24,Y,,
customer15685,M,f,"£35,606",4,Bachelors,Clerical,51,N,,
customer15686,M,m,"£49,410",2,Graduate Degree,Clerical,49,N,,
customer15687,S,m,"£56,552",1,Graduate Degree,Professional,42,Y,,
customer15688,M,f,"£58,341",5,Partial College,Management,32,N,,
customer15689,S,m,"£33,440",0,Partial High School,Professional,35,N,,
customer15690,M,f,"£39,303",5,High School,Skilled Manual,35,Y,,
customer15691,S,m,"£34,957",5,Bachelors,Clerical,54,N,,
customer15692,S,m,"£54,045",4,High School,Management,48,N,,
customer15693,S,m,"£38,899",0,Graduate Degree,Management,37,Y,,
customer15694,M,m,"£52,957",0,High School,Professional,40,N,,
customer15695,M,f,"£73,868",0,Partial College,Clerical,52,N,,
customer15696,M,f,"£52,507",4,High School,Clerical,53,N,,
customer15697,M,m,"£37,319",2,Partial High School,Skilled Manual,34,N,,
customer15698,S,m,"£31,672",0,Partial College,Clerical,39,Y,,
customer15699,M,f,"£77,266",1,Bachelors,Clerical,51,N,,
customer15700,S,f,"£83,065",4,Partial High School,Skilled Manual,39,Y,,
customer15701,S,m,"£55,773",4,Bachelors,Management,53,Y,,
customer15702,M,f,"£30,443",5,Bachelors,Management,23,N,,
customer15703,M,m,"£73,786",1,High School,Management,40,N,,
customer15704,M,m,"£67,241",0,High School,Clerical,44,N,,
customer15705,S,f,"£73,193",1,Partial High School,Skilled Manual,50,Y,,
customer15706,M,m,"£53,452",3,Bachelors,Manual,41,N,,
customer15707,S,m,"£34,848",1,Bachelors,Management,47,N,,
customer15708,M,m,"£42,911",3,Graduate Degree,Manual,32,N,,
customer15709,S,f,"£83,871",2,Graduate Degree,Skilled Manual,34,N,,
customer15710,M,m,"£31,386",2,Graduate Degree,Manual,26,N,,
customer15711,S,m,"£51,173",4,Partial College,Management,49,Y,,
customer15712,S,m,"£70,999",1,Partial High School,Manual,49,Y,,
customer15713,S,f,"£53,376",2,Bachelors,Professional,28,N,,
customer15714,M,f,"£56,465",2,Partial College,Clerical,36,Y,,
customer15715,M,f,"£88,093",1,Graduate Degree,Professional,47,N,,
customer15716,S,m,"£31,939",5,Partial College,Management,35,Y,,
customer15717,M,f,"£51,487",0,Graduate Degree,Clerical,47,N,,
customer15718,S,m,"£34,142",2,Partial College,Clerical,31,N,,
customer15719,S,f,"£55,863",2,Partial College,Professional,47,Y,,
customer15720,S,f,"£66,184",3,Partial High School,Skilled Manual,55,N,,
customer15721,M,m,"£48,345",5,Bachelors,Professional,43,Y,,
customer15722,S,m,"£87,926",2,Bachelors,Manual,32,Y,,
customer15723,M,f,"£61,825",4,Bachelors,Professional,28,Y,,
customer15724,M,f,"£45,293",4,Partial College,Manual,47,N,,
customer15725,M,f,"£57,542",0,Bachelors,Manual,51,Y,,
customer15726,M,f,"£75,251",0,High School,Skilled Manual,48,Y,,
customer15727,M,m,"£79,620",5,Graduate Degree,Skilled Manual,27,Y,,
customer15728,M,f,"£80,666",5,Graduate Degree,Professional,23,N,,
customer15729,S,f,"£89,043",5,Partial High School,Professional,23,Y,,
customer15730,S,m,"£47,429",3,Partial College,Skilled Manual,23,N,,
customer15731,M,f,"£53,643",4,Partial College,Clerical,44,Y,,
customer15732,M,m,"£76,875",2,Bachelors,Clerical,55,Y,,
customer15733,M,m,"£86,263",3,Partial High School,Manual,30,Y,,
customer15734,S,m,"£54,121",5,Partial College,Clerical,41,Y,,
customer15735,M,f,"£57,594",3,Graduate Degree,Management,41,Y,,
customer15736,M,f,"£73,434",2,Partial High School,Skilled Manual,24,Y,,
customer15737,M,f,"£49,281",5,Bachelors,Skilled Manual,30,Y,,
customer15738,S,f,"£80,635",5,Partial High School,Manual,44,N,,
customer15739,M,m,"£88,355",4,Graduate Degree,Clerical,26,Y,,
customer15740,M,f,"£50,784",3,Graduate Degree,Manual,44,N,,
customer15741,M,m,"£54,431",5,Bachelors,Management,46,Y,,
customer15742,M,f,"£62,138",0,Partial High School,Skilled Manual,34,Y,,
customer15743,M,m,"£84,046",1,Partial College,Skilled Manual,40,N,,
customer15744,S,m,"£49,192",3,Graduate Degree,Professional,37,N,,
customer15745,M,f,"£78,196",2,Bachelors,Management,52,N,,
customer15746,M,m,"£64,574",5,Graduate Degree,Manual,29,Y,,
customer15747,M,m,"£52,965",3,Partial High School,Management,38,Y,,
customer15748,M,m,"£68,430",5,Partial High School,Management,54,N,,
customer15749,M,m,"£55,106",3,Graduate Degree,Skilled Manual,34,Y,,
customer15750,S,f,"£76,290",3,Graduate Degree,Professional,44,N,,
customer15751,S,m,"£35,559",2,Graduate Degree,Management,35,Y,,
customer15752,M,m,"£87,611",0,Bachelors,Manual,30,Y,,
customer15753,M,f,"£46,346",5,Bachelors,Skilled Manual,26,Y,,
customer15754,S,f,"£77,688",0,Partial High School,Management,24,N,,
customer15755,M,f,"£73,237",1,High School,Management,28,N,,
customer15756,S,m,"£67,824",2,Partial High School,Skilled Manual,33,N,,
customer15757,S,f,"£73,628",1,Bachelors,Manual,38,Y,,
customer15758,S,m,"£38,331",0,Graduate Degree,Skilled Manual,30,Y,,
customer15759,S,m,"£89,771",2,Partial College,Management,51,N,,
customer15760,M,f,"£75,619",2,High School,Professional,37,Y,,
customer15761,S,m,"£76,807",2,Partial High School,Skilled Manual,44,Y,,
customer15762,S,f,"£66,996",5,High School,Clerical,34,N,,
customer15763,S,m,"£48,924",5,Partial College,Skilled Manual,53,Y,,
customer15764,M,f,"£63,609",4,High School,Management,22,N,,
customer15765,S,f,"£39,636",4,Bachelors,Clerical,29,Y,,
customer15766,M,m,"£84,558",1,Bachelors,Management,36,N,,
customer15767,S,m,"£63,444",3,Partial High School,Skilled Manual,50,N,,
customer15768,M,f,"£33,155",4,Bachelors,Professional,29,N,,
customer15769,S,f,"£45,680",5,Partial High School,Management,55,N,,
customer15770,M,m,"£82,155",5,Graduate Degree,Manual,39,N,,
customer15771,M,m,"£70,476",2,High School,Professional,55,Y,,
customer15772,M,f,"£74,155",0,Partial High School,Professional,33,N,,
customer15773,S,f,"£70,364",4,Bachelors,Manual,28,N,,
customer15774,S,m,"£63,133",1,Bachelors,Clerical,55,Y,,
customer15775,M,f,"£68,746",2,Partial College,Professional,48,Y,,
customer15776,S,f,"£82,999",3,Partial High School,Professional,40,Y,,
customer15777,M,f,"£36,498",3,Graduate Degree,Clerical,50,N,,
customer15778,S,m,"£30,273",4,High School,Manual,50,N,,
customer15779,S,f,"£84,327",4,Bachelors,Clerical,40,Y,,
customer15780,M,f,"£58,081",1,Bachelors,Professional,46,N,,
customer15781,S,f,"£85,981",4,Partial High School,Management,26,N,,
customer15782,M,f,"£43,061",3,Partial College,Management,31,Y,,
customer15783,S,m,"£46,100",5,Partial College,Skilled Manual,31,N,,
customer15784,M,m,"£31,013",1,High School,Professional,43,N,,
customer15785,M,m,"£81,131",5,Graduate Degree,Professional,52,Y,,
customer15786,M,m,"£70,525",3,High School,Management,31,N,,
customer15787,M,f,"£45,455",0,High School,Skilled Manual,29,N,,
customer15788,M,m,"£59,743",4,Partial College,Professional,40,N,,
customer15789,M,m,"£82,882",2,Partial College,Clerical,53,Y,,
customer15790,M,f,"£35,223",2,Bachelors,Professional,30,N,,
customer15791,S,f,"£61,639",2,Graduate Degree,Management,55,Y,,
customer15792,S,f,"£77,051",2,Partial High School,Clerical,54,Y,,
customer15793,S,f,"£54,462",1,Partial High School,Management,50,N,,
customer15794,M,f,"£52,216",4,Graduate Degree,Clerical,26,Y,,
customer15795,M,f,"£55,138",4,Partial High School,Management,54,Y,,
customer15796,S,m,"£48,104",5,High School,Manual,51,N,,
customer15797,M,f,"£38,588",3,Graduate Degree,Clerical,27,Y,,
customer15798,M,f,"£67,567",1,Partial High School,Manual,29,Y,,
customer15799,M,f,"£36,042",1,Partial High School,Management,47,Y,,
customer15800,M,m,"£57,781",4,Graduate Degree,Professional,52,N,,
customer15801,S,f,"£53,317",4,High School,Skilled Manual,37,N,,
customer15802,S,m,"£35,023",5,Bachelors,Professional,29,N,,
customer15803,M,m,"£77,289",4,Partial College,Manual,40,N,,
customer15804,S,f,"£36,951",4,Partial College,Skilled Manual,54,N,,
customer15805,S,f,"£46,530",4,Partial High School,Clerical,31,Y,,
customer15806,S,m,"£54,586",4,Bachelors,Clerical,46,Y,,
customer15807,M,m,"£72,400",5,Bachelors,Management,43,N,,
customer15808,M,m,"£37,081",0,Partial High School,Professional,25,Y,,
customer15809,M,f,"£32,531",2,High School,Manual,40,N,,
customer15810,S,f,"£54,149",4,Partial High School,Manual,55,Y,,
customer15811,M,m,"£37,759",5,Partial College,Professional,26,Y,,
customer15812,S,f,"£34,082",2,Graduate Degree,Skilled Manual,46,Y,,
customer15813,S,f,"£77,492",0,Partial High School,Professional,38,N,,
customer15814,S,m,"£30,617",1,Graduate Degree,Clerical,54,Y,,
customer15815,M,f,"£39,694",5,Partial College,Management,27,N,,
customer15816,S,f,"£85,427",5,Partial High School,Manual,53,Y,,
customer15817,M,f,"£63,962",0,Partial High School,Manual,42,N,,
customer15818,M,f,"£73,168",0,Partial College,Professional,23,N,,
customer15819,M,f,"£38,638",4,Partial High School,Skilled Manual,47,Y,,
customer15820,M,m,"£38,651",4,Partial High School,Professional,41,Y,,
customer15821,M,m,"£35,384",2,Bachelors,Clerical,53,N,,
customer15822,S,f,"£61,014",2,Graduate Degree,Management,28,Y,,
customer15823,S,f,"£67,443",5,Bachelors,Skilled Manual,36,N,,
customer15824,S,m,"£41,168",3,Bachelors,Clerical,23,N,,
customer15825,S,m,"£41,620",1,Bachelors,Skilled Manual,45,Y,,
customer15826,S,m,"£81,684",1,High School,Clerical,51,Y,,
customer15827,S,f,"£65,945",4,High School,Clerical,23,Y,,
customer15828,M,m,"£59,062",2,Partial College,Skilled Manual,48,Y,,
customer15829,S,f,"£73,944",2,Graduate Degree,Manual,27,Y,,
customer15830,S,m,"£64,656",1,Partial High School,Skilled Manual,46,N,,
customer15831,M,f,"£68,467",4,Bachelors,Manual,53,N,,
customer15832,S,f,"£47,853",2,Graduate Degree,Clerical,33,Y,,
customer15833,M,m,"£50,503",4,High School,Manual,33,Y,,
customer15834,M,m,"£70,495",0,High School,Management,51,N,,
customer15835,M,m,"£79,374",2,Bachelors,Clerical,29,N,,
customer15836,M,f,"£63,540",2,Partial College,Professional,46,Y,,
customer15837,S,m,"£67,977",5,Partial High School,Management,23,Y,,
customer15838,S,m,"£44,117",2,Partial High School,Skilled Manual,50,N,,
customer15839,M,f,"£82,458",3,Partial College,Clerical,24,Y,,
customer15840,M,m,"£62,483",2,High School,Skilled Manual,30,N,,
customer15841,M,f,"£83,975",4,Partial High School,Manual,54,Y,,
customer15842,M,f,"£67,421",0,High School,Manual,38,N,,
customer15843,S,m,"£44,292",5,Partial High School,Clerical,38,Y,,
customer15844,S,f,"£75,779",1,Bachelors,Skilled Manual,27,Y,,
customer15845,S,f,"£37,280",3,Bachelors,Clerical,22,Y,,
customer15846,M,m,"£60,347",1,Graduate Degree,Skilled Manual,29,Y,,
customer15847,S,f,"£82,245",2,Partial College,Manual,43,N,,
customer15848,S,f,"£82,884",0,Graduate Degree,Management,36,N,,
customer15849,M,f,"£67,388",2,Bachelors,Clerical,25,N,,
customer15850,S,m,"£51,321",2,Partial High School,Management,49,N,,
customer15851,S,m,"£69,908",2,Graduate Degree,Manual,38,N,,
customer15852,M,f,"£35,937",5,Bachelors,Clerical,29,Y,,
customer15853,M,m,"£70,616",2,Graduate Degree,Manual,34,N,,
customer15854,S,m,"£54,755",5,Bachelors,Skilled Manual,27,Y,,
customer15855,M,m,"£55,850",1,Partial High School,Clerical,55,Y,,
customer15856,S,m,"£60,335",2,Graduate Degree,Skilled Manual,49,Y,,
customer15857,M,m,"£45,662",5,Partial High School,Skilled Manual,30,Y,,
customer15858,S,m,"£40,895",5,Graduate Degree,Manual,45,Y,,
customer15859,M,m,"£49,837",5,Graduate Degree,Professional,43,N,,
customer15860,S,m,"£88,580",2,Partial College,Professional,42,Y,,
customer15861,M,m,"£50,368",2,Bachelors,Skilled Manual,37,N,,
customer15862,S,m,"£87,639",5,Partial High School,Manual,55,Y,,
customer15863,M,f,"£75,726",0,High School,Skilled Manual,54,Y,,
customer15864,S,m,"£54,380",5,Bachelors,Clerical,44,Y,,
customer15865,M,f,"£71,355",3,Graduate Degree,Clerical,39,Y,,
customer15866,S,f,"£68,828",5,Graduate Degree,Clerical,43,N,,
customer15867,M,f,"£50,013",1,High School,Clerical,51,N,,
customer15868,M,f,"£46,373",1,Bachelors,Manual,36,Y,,
customer15869,S,f,"£70,525",1,Bachelors,Skilled Manual,49,Y,,
customer15870,S,m,"£45,896",4,Partial College,Management,45,Y,,
customer15871,M,f,"£89,360",2,High School,Skilled Manual,47,N,,
customer15872,M,m,"£42,083",4,Graduate Degree,Skilled Manual,50,N,,
customer15873,S,f,"£65,359",5,Partial College,Skilled Manual,41,Y,,
customer15874,M,m,"£46,709",4,Bachelors,Professional,29,N,,
customer15875,S,f,"£38,996",3,Graduate Degree,Skilled Manual,52,Y,,
customer15876,M,f,"£66,572",3,High School,Manual,37,N,,
customer15877,S,f,"£78,152",3,Graduate Degree,Clerical,24,N,,
customer15878,M,m,"£32,694",4,Bachelors,Management,31,N,,
customer15879,M,f,"£76,921",2,Graduate Degree,Clerical,40,N,,
customer15880,M,m,"£43,032",4,Partial High School,Professional,50,Y,,
customer15881,M,f,"£88,473",0,Partial College,Clerical,53,Y,,
customer15882,M,m,"£76,466",1,Partial College,Skilled Manual,41,Y,,
customer15883,S,m,"£87,287",2,Partial College,Manual,44,N,,
customer15884,M,m,"£53,162",3,Partial High School,Skilled Manual,50,N,,
customer15885,M,f,"£84,309",4,High School,Professional,23,N,,
customer15886,M,f,"£43,088",4,Bachelors,Skilled Manual,30,N,,
customer15887,S,f,"£85,286",4,Bachelors,Manual,31,Y,,
customer15888,M,m,"£49,452",2,High School,Clerical,48,N,,
customer15889,M,f,"£78,466",0,High School,Manual,30,N,,
customer15890,M,m,"£67,600",2,High School,Manual,44,Y,,
customer15891,S,f,"£41,900",1,High School,Skilled Manual,26,N,,
customer15892,S,f,"£44,408",0,Partial High School,Professional,55,N,,
customer15893,M,m,"£85,648",3,Graduate Degree,Clerical,44,Y,,
customer15894,M,f,"£44,049",0,High School,Management,49,Y,,
customer15895,M,f,"£30,888",1,High School,Professional,26,Y,,
customer15896,S,f,"£32,861",3,Partial High School,Skilled Manual,45,Y,,
customer15897,S,m,"£32,728",2,Graduate Degree,Management,31,Y,,
customer15898,S,f,"£83,454",3,Graduate Degree,Management,27,N,,
customer15899,S,m,"£50,604",4,High School,Manual,34,Y,,
customer15900,M,f,"£61,567",2,Graduate Degree,Management,33,Y,,
customer15901,S,f,"£63,997",1,Partial High School,Skilled Manual,46,Y,,
customer15902,S,m,"£56,255",5,Partial High School,Professional,45,N,,
customer15903,M,m,"£47,660",3,Partial High School,Management,50,Y,,
customer15904,S,f,"£66,053",1,Bachelors,Management,45,Y,,
customer15905,M,f,"£82,134",2,Partial High School,Management,34,Y,,
customer15906,M,m,"£30,419",4,Partial High School,Professional,38,Y,,
customer15907,M,m,"£36,998",5,Partial College,Management,42,N,,
customer15908,M,f,"£71,229",3,Graduate Degree,Management,26,Y,,
customer15909,M,f,"£40,680",4,Bachelors,Manual,40,N,,
customer15910,M,f,"£84,640",3,Graduate Degree,Management,34,Y,,
customer15911,M,f,"£85,788",0,Partial High School,Professional,49,Y,,
customer15912,S,m,"£82,462",0,Graduate Degree,Clerical,50,N,,
customer15913,M,m,"£66,718",4,Graduate Degree,Manual,30,Y,,
customer15914,M,f,"£36,585",3,Partial College,Professional,40,Y,,
customer15915,M,m,"£80,995",3,High School,Management,37,N,,
customer15916,M,m,"£66,536",2,Graduate Degree,Clerical,34,N,,
customer15917,M,f,"£83,382",2,Partial High School,Professional,26,Y,,
customer15918,M,m,"£76,657",2,High School,Management,24,Y,,
customer15919,S,m,"£71,551",3,Graduate Degree,Clerical,44,N,,
customer15920,S,f,"£50,868",5,Graduate Degree,Clerical,35,Y,,
customer15921,S,f,"£60,298",0,High School,Skilled Manual,55,Y,,
customer15922,S,m,"£44,691",2,Graduate Degree,Management,47,Y,,
customer15923,M,f,"£83,324",0,Partial College,Manual,42,Y,,
customer15924,S,m,"£51,508",0,Partial College,Management,45,N,,
customer15925,M,f,"£71,113",4,High School,Skilled Manual,39,Y,,
customer15926,S,f,"£39,091",5,Partial High School,Management,24,Y,,
customer15927,M,m,"£59,786",2,Partial College,Professional,51,Y,,
customer15928,M,m,"£86,406",2,High School,Manual,40,Y,,
customer15929,M,m,"£60,192",2,Bachelors,Skilled Manual,45,N,,
customer15930,S,f,"£64,707",4,Bachelors,Skilled Manual,38,Y,,
customer15931,S,m,"£67,740",0,Bachelors,Skilled Manual,30,Y,,
customer15932,M,m,"£53,939",0,Partial College,Professional,39,Y,,
customer15933,M,f,"£50,683",0,Partial College,Professional,29,Y,,
customer15934,S,m,"£37,722",0,Bachelors,Clerical,33,N,,
customer15935,M,m,"£87,035",2,Bachelors,Skilled Manual,54,Y,,
customer15936,M,m,"£59,979",3,Bachelors,Manual,32,N,,
customer15937,S,m,"£35,690",2,Bachelors,Clerical,46,N,,
customer15938,S,m,"£33,299",5,Partial College,Professional,50,Y,,
customer15939,M,m,"£51,325",5,Bachelors,Management,43,N,,
customer15940,S,m,"£47,107",1,Bachelors,Clerical,24,Y,,
customer15941,M,m,"£32,595",0,Graduate Degree,Management,37,Y,,
customer15942,M,f,"£45,789",1,High School,Manual,28,Y,,
customer15943,M,f,"£86,018",0,Graduate Degree,Skilled Manual,41,Y,,
customer15944,S,f,"£50,923",2,Bachelors,Manual,44,Y,,
customer15945,M,f,"£81,419",3,High School,Clerical,48,N,,
customer15946,M,m,"£85,531",5,Bachelors,Manual,25,N,,
customer15947,S,m,"£52,384",4,High School,Clerical,54,N,,
customer15948,S,f,"£79,510",5,Bachelors,Skilled Manual,36,N,,
customer15949,M,m,"£84,270",1,Graduate Degree,Manual,49,Y,,
customer15950,S,m,"£51,466",0,Partial College,Skilled Manual,43,Y,,
customer15951,S,f,"£48,287",4,High School,Management,51,N,,
customer15952,M,m,"£67,780",0,Graduate Degree,Manual,41,N,,
customer15953,S,f,"£88,520",3,Partial High School,Clerical,27,N,,
customer15954,M,m,"£58,817",2,Bachelors,Management,24,N,,
customer15955,S,f,"£74,876",4,High School,Professional,28,Y,,
customer15956,M,m,"£47,912",3,Graduate Degree,Manual,28,Y,,
customer15957,S,m,"£75,171",3,Bachelors,Skilled Manual,46,Y,,
customer15958,S,m,"£38,339",4,Bachelors,Management,40,Y,,
customer15959,S,m,"£49,497",2,Partial College,Clerical,22,Y,,
customer15960,M,f,"£47,504",5,Partial High School,Management,46,Y,,
customer15961,S,m,"£87,852",2,Partial College,Clerical,51,Y,,
customer15962,S,f,"£82,591",0,High School,Management,54,N,,
customer15963,M,m,"£31,156",4,High School,Professional,55,N,,
customer15964,M,f,"£66,289",5,Bachelors,Skilled Manual,22,Y,,
customer15965,M,m,"£56,854",0,High School,Clerical,49,N,,
customer15966,M,m,"£78,979",2,Bachelors,Professional,45,N,,
customer15967,S,f,"£85,292",2,Partial College,Manual,48,N,,
customer15968,S,f,"£30,406",2,Graduate Degree,Clerical,51,N,,
customer15969,S,m,"£39,229",5,Graduate Degree,Skilled Manual,34,Y,,
customer15970,S,f,"£40,738",0,High School,Skilled Manual,52,Y,,
customer15971,M,f,"£60,696",2,Partial High School,Clerical,38,N,,
customer15972,M,m,"£74,539",1,High School,Manual,24,N,,
customer15973,M,m,"£73,139",3,Partial High School,Manual,34,N,,
customer15974,S,f,"£70,461",2,High School,Clerical,30,N,,
customer15975,M,m,"£31,609",3,Graduate Degree,Management,40,N,,
customer15976,M,f,"£45,322",1,Partial College,Manual,44,Y,,
customer15977,M,f,"£48,119",2,Graduate Degree,Management,28,N,,
customer15978,M,f,"£31,597",0,High School,Manual,27,Y,,
customer15979,M,f,"£87,886",1,Partial High School,Professional,43,Y,,
customer15980,M,f,"£60,425",2,Partial High School,Management,23,N,,
customer15981,S,m,"£81,636",3,Partial High School,Skilled Manual,35,Y,,
customer15982,M,f,"£68,733",1,Partial College,Manual,45,Y,,
customer15983,M,f,"£65,058",0,High School,Manual,22,Y,,
customer15984,M,f,"£32,338",3,Partial College,Management,43,N,,
customer15985,S,m,"£62,220",3,Partial High School,Manual,54,Y,,
customer15986,M,m,"£57,361",4,High School,Skilled Manual,31,Y,,
customer15987,M,f,"£38,741",3,Partial High School,Management,42,N,,
customer15988,S,f,"£67,002",5,Partial College,Skilled Manual,39,Y,,
customer15989,M,f,"£42,817",5,Bachelors,Manual,32,Y,,
customer15990,M,m,"£63,098",5,Bachelors,Professional,22,Y,,
customer15991,S,m,"£70,852",4,Partial College,Management,32,Y,,
customer15992,S,m,"£73,730",1,Partial High School,Manual,24,Y,,
customer15993,M,f,"£46,313",2,High School,Professional,31,Y,,
customer15994,S,m,"£60,066",4,Bachelors,Manual,53,N,,
customer15995,M,f,"£66,573",0,Partial College,Management,31,N,,
customer15996,M,f,"£65,977",3,Graduate Degree,Skilled Manual,33,Y,,
customer15997,M,m,"£66,689",0,Partial College,Professional,34,N,,
customer15998,S,m,"£56,732",1,Partial College,Clerical,40,Y,,
customer15999,M,m,"£62,486",3,High School,Manual,43,Y,,
customer16000,M,f,"£44,682",2,Partial College,Clerical,28,N,,
customer16001,M,m,"£45,146",3,Partial High School,Professional,46,Y,,
customer16002,M,m,"£83,853",2,Partial High School,Management,35,Y,,
customer16003,M,m,"£33,399",0,Partial College,Manual,40,N,,
customer16004,M,m,"£44,844",2,Bachelors,Clerical,27,N,,
customer16005,S,f,"£41,191",2,Bachelors,Professional,49,Y,,
customer16006,M,m,"£44,432",4,Partial High School,Management,34,Y,,
customer16007,M,f,"£75,110",3,Graduate Degree,Manual,55,N,,
customer16008,S,f,"£31,809",0,Partial College,Skilled Manual,29,N,,
customer16009,M,m,"£40,230",2,High School,Clerical,26,N,,
customer16010,M,m,"£76,186",0,Bachelors,Clerical,25,N,,
customer16011,S,m,"£86,035",5,Partial High School,Professional,22,N,,
customer16012,M,f,"£48,634",2,Bachelors,Manual,45,N,,
customer16013,S,f,"£70,611",1,Partial College,Professional,23,Y,,
customer16014,M,f,"£71,396",3,High School,Professional,34,Y,,
customer16015,S,f,"£32,643",5,Partial College,Manual,43,N,,
customer16016,S,f,"£81,382",5,Partial College,Professional,48,Y,,
customer16017,S,f,"£79,618",5,Partial College,Clerical,29,Y,,
customer16018,M,m,"£86,099",3,Graduate Degree,Clerical,29,Y,,
customer16019,M,f,"£51,326",4,Graduate Degree,Manual,24,Y,,
customer16020,M,m,"£30,372",3,Bachelors,Skilled Manual,41,Y,,
customer16021,M,f,"£74,419",2,Graduate Degree,Management,29,N,,
customer16022,S,m,"£35,856",2,High School,Skilled Manual,41,N,,
customer16023,S,m,"£41,932",0,High School,Professional,46,Y,,
customer16024,M,f,"£88,593",1,Partial High School,Manual,35,Y,,
customer16025,M,f,"£58,142",5,Bachelors,Manual,33,Y,,
customer16026,M,f,"£84,692",1,Partial College,Skilled Manual,31,N,,
customer16027,S,f,"£49,547",0,Partial High School,Skilled Manual,52,N,,
customer16028,M,m,"£82,590",4,Graduate Degree,Professional,38,Y,,
customer16029,S,f,"£72,392",1,Partial High School,Professional,50,Y,,
customer16030,S,m,"£68,065",1,Bachelors,Skilled Manual,24,N,,
customer16031,M,m,"£63,569",1,Partial College,Manual,27,Y,,
customer16032,M,f,"£38,280",1,High School,Clerical,48,Y,,
customer16033,S,f,"£82,882",1,Partial High School,Professional,49,Y,,
customer16034,S,f,"£55,522",1,High School,Skilled Manual,41,Y,,
customer16035,M,m,"£76,460",1,Partial College,Manual,34,N,,
customer16036,M,f,"£53,338",3,Graduate Degree,Skilled Manual,53,N,,
customer16037,S,m,"£56,705",0,High School,Management,43,N,,
customer16038,M,m,"£30,640",1,Partial High School,Management,34,Y,,
customer16039,S,m,"£73,133",0,Bachelors,Professional,38,Y,,
customer16040,M,f,"£33,325",0,Bachelors,Skilled Manual,34,N,,
customer16041,M,f,"£83,735",1,High School,Management,36,N,,
customer16042,M,f,"£39,528",4,Partial High School,Skilled Manual,50,Y,,
customer16043,S,m,"£68,692",3,High School,Management,39,N,,
customer16044,S,m,"£85,295",2,Partial High School,Manual,34,Y,,
customer16045,S,m,"£34,520",0,High School,Clerical,22,Y,,
customer16046,M,m,"£34,787",1,High School,Management,22,Y,,
customer16047,S,f,"£59,010",3,Partial College,Management,45,Y,,
customer16048,S,f,"£52,496",1,Partial College,Management,54,Y,,
customer16049,M,f,"£49,027",0,High School,Management,22,Y,,
customer16050,M,m,"£47,104",2,Partial College,Skilled Manual,35,N,,
customer16051,M,f,"£66,266",0,Graduate Degree,Management,43,N,,
customer16052,M,m,"£52,639",1,High School,Professional,52,Y,,
customer16053,S,f,"£46,930",2,Partial High School,Skilled Manual,41,N,,
customer16054,S,f,"£44,071",3,Partial High School,Skilled Manual,22,N,,
customer16055,S,m,"£40,149",0,Bachelors,Skilled Manual,28,Y,,
customer16056,S,f,"£54,861",1,Partial College,Professional,33,N,,
customer16057,M,m,"£84,856",2,High School,Clerical,41,N,,
customer16058,M,f,"£40,486",1,Partial College,Manual,48,N,,
customer16059,S,m,"£81,821",1,Partial High School,Clerical,34,Y,,
customer16060,M,f,"£66,108",5,Bachelors,Skilled Manual,23,N,,
customer16061,M,f,"£43,994",1,High School,Management,25,N,,
customer16062,S,f,"£66,337",4,Partial High School,Skilled Manual,22,Y,,
customer16063,M,f,"£57,277",5,Graduate Degree,Management,46,Y,,
customer16064,S,m,"£88,429",3,High School,Professional,41,Y,,
customer16065,S,m,"£73,430",0,Partial High School,Management,48,Y,,
customer16066,S,m,"£74,536",0,High School,Clerical,41,N,,
customer16067,S,m,"£31,823",5,Graduate Degree,Clerical,53,N,,
customer16068,M,m,"£68,933",1,High School,Management,41,N,,
customer16069,S,m,"£41,054",0,Graduate Degree,Manual,53,Y,,
customer16070,M,m,"£76,016",1,Graduate Degree,Skilled Manual,55,Y,,
customer16071,M,f,"£66,911",1,Graduate Degree,Clerical,49,Y,,
customer16072,M,f,"£34,654",5,Partial College,Professional,23,N,,
customer16073,S,m,"£54,717",4,Partial College,Manual,51,Y,,
customer16074,M,m,"£44,334",1,High School,Management,51,Y,,
customer16075,M,f,"£75,958",3,Partial High School,Clerical,28,Y,,
customer16076,M,f,"£34,239",4,Partial High School,Management,53,N,,
customer16077,M,m,"£44,412",2,Graduate Degree,Professional,48,Y,,
customer16078,S,m,"£46,974",0,Partial College,Clerical,31,N,,
customer16079,M,m,"£50,772",2,Partial High School,Management,38,Y,,
customer16080,M,f,"£67,858",0,Partial College,Skilled Manual,25,N,,
customer16081,M,m,"£75,120",2,Partial High School,Management,47,N,,
